transaction_id,customer_id,items,date,time,persona,customer_loyalty,store_location,payment_method
TXN_000001,CUST_0010,Sunscreen;Dumbbells;Protein Powder;Ski Equipment;Supplement Pills,2025-03-01,15:34,Fitness Enthusiast,regular,Store B,Cash
TXN_000002,CUST_0003,Garden Hose;Quinoa;Plant Fertilizer;Lawn Mower;Instant Pot;Tomato Sauce;Rice Cooker;Air Fryer,2025-01-30,12:16,Home Cook,regular,Store A,Credit Card
TXN_000003,CUST_0055,Makeup Kit;Toothpaste,2025-07-07,19:34,Fashion Conscious,vip,Store C,Cash
TXN_000004,CUST_0241,Butter;Science Fiction Novel;Harry Potter Series,2025-03-08,13:57,Book Lover,vip,Store A,Mobile Payment
TXN_000005,CUST_0087,Adidas Track Pants;Zara Dress,2025-02-26,19:53,Fashion Conscious,new,Store B,Debit Card
TXN_000006,CUST_0008,Food Processor;Olive Oil;Butter;Bread;Yogurt;Milk;Salmon,2025-02-26,13:30,Home Cook,new,Store A,Debit Card
TXN_000007,CUST_0233,Webcam;Wireless Charger;Power Bank;RAM 16GB;External SSD;Quinoa,2025-03-26,09:45,Tech Enthusiast,regular,Online,Mobile Payment
TXN_000008,CUST_0155,Fitness Tracker;Nike Socks;Moisturizer,2025-05-15,10:53,Fashion Conscious,regular,Store C,Debit Card
TXN_000009,CUST_0182,Tommy Hilfiger Jacket;Toothpaste;Champion Hoodie;Deodorant,2025-07-16,19:34,Fashion Conscious,regular,Store B,Mobile Payment
TXN_000010,CUST_0244,Tommy Hilfiger Jacket;Nike Hoodie,2025-04-12,19:41,Fashion Conscious,new,Online,Cash
TXN_000011,CUST_0176,Power Bank;AirPods Pro,2025-05-12,09:32,Tech Enthusiast,regular,Store B,Cash
TXN_000012,CUST_0056,Under Armour T-Shirt;Conditioner;Perfume;Uniqlo Sweater;Fitness Tracker;Tommy Hilfiger Jacket,2025-05-21,15:56,Fashion Conscious,vip,Online,Cash
TXN_000013,CUST_0111,Tommy Hilfiger Jacket;Dumbbells;Gap Jeans;Adidas Ultraboost;Perfume,2025-03-29,12:58,Fashion Conscious,regular,Online,Credit Card
TXN_000014,CUST_0025,Fitness Tracker;Body Wash;Champion Hoodie;Vitamins;Supplement Pills;Face Cream,2025-02-19,09:25,Fashion Conscious,new,Online,Mobile Payment
TXN_000015,CUST_0003,Instant Pot;Lawn Mower;Outdoor Furniture;Dark Chocolate;Food Processor;Air Fryer;Microwave;Organic Coffee;Olive Oil;Toaster;Quinoa;Stand Mixer,2025-02-26,18:36,Home Cook,regular,Online,Debit Card
TXN_000016,CUST_0013,Perfume,2025-03-18,12:43,Fashion Conscious,regular,Store A,Credit Card
TXN_000017,CUST_0087,Calvin Klein Underwear;Vans Old Skool;Nike Socks;Resistance Bands;Zara Dress,2025-02-11,12:16,Fashion Conscious,new,Store C,Credit Card
TXN_000018,CUST_0122,Flower Pots,2025-02-12,14:08,Home Cook,new,Online,Credit Card
TXN_000019,CUST_0052,Green Tea,2025-03-15,19:34,Book Lover,new,Store B,Debit Card
TXN_000020,CUST_0156,Chicken Breast;Fruits,2025-02-20,16:49,Home Cook,regular,Store A,Credit Card
TXN_000021,CUST_0154,Pride and Prejudice;Self-Help Book;Cookbook;Romance Novel;Art Book,2025-03-05,18:39,General Shopper,vip,Store C,Debit Card
TXN_000022,CUST_0066,Kindle;Microsoft Surface;RAM 16GB,2025-04-16,14:59,Tech Enthusiast,new,Store A,Credit Card
TXN_000023,CUST_0074,Garden Tools Set;Rice Cooker;Patio Umbrella;Microwave;Coffee Maker;Eggs,2025-06-12,09:36,Home Cook,regular,Store B,Debit Card
TXN_000024,CUST_0086,Sleeping Bag;Surfboard;Face Cream;Running Shoes,2025-07-03,15:48,Fitness Enthusiast,regular,Store B,Credit Card
TXN_000025,CUST_0089,Gap Jeans;Tommy Hilfiger Jacket,2025-05-28,11:01,Fashion Conscious,new,Store B,Debit Card
TXN_000026,CUST_0005,Olive Oil;Electric Kettle;Dark Chocolate;Plant Fertilizer;Lawn Mower;Solar Lights;Green Tea;Coffee Maker;Fruits,2025-02-20,16:47,Home Cook,vip,Online,Debit Card
TXN_000027,CUST_0106,Polo Ralph Lauren Shirt;Xbox Series X;Graphics Card RTX 4070;Gap Jeans;Ray-Ban Sunglasses,2025-06-09,18:21,General Shopper,regular,Store B,Credit Card
TXN_000028,CUST_0101,Face Cream;Calvin Klein Underwear;H&M T-Shirt,2025-03-13,15:15,Fashion Conscious,new,Store C,Credit Card
TXN_000029,CUST_0119,Nike Hoodie;Yoga Mat;Under Armour T-Shirt;Face Cream,2025-05-22,22:53,Fashion Conscious,vip,Store C,Cash
TXN_000030,CUST_0236,Fitness Tracker;Protein Powder;Makeup Kit,2025-06-01,14:54,Fashion Conscious,new,Store C,Credit Card
TXN_000031,CUST_0016,Vitamins;Conditioner;Deodorant;Backpack;Water Bottle,2025-05-10,11:39,Fitness Enthusiast,new,Online,Debit Card
TXN_000032,CUST_0146,Nike Hoodie;Nike Socks;Toothpaste;Body Wash,2025-06-11,20:48,Fashion Conscious,regular,Store B,Cash
TXN_000033,CUST_0019,Mystery Novel;Cheese;Pasta;Biography;Twilight,2025-02-13,21:38,Book Lover,regular,Store B,Cash
TXN_000034,CUST_0059,Green Tea;Butter;Orange Juice,2025-06-13,17:13,Book Lover,new,Store C,Debit Card
TXN_000035,CUST_0031,Moisturizer,2025-03-13,13:37,Fitness Enthusiast,regular,Store A,Cash
TXN_000036,CUST_0115,Makeup Kit;Bike Helmet,2025-03-08,19:28,Fitness Enthusiast,regular,Store C,Credit Card
TXN_000037,CUST_0046,Salmon;Patio Umbrella;Tomato Sauce;Microwave;Peanut Butter;Solar Lights;Olive Oil;Rice Cooker;Quinoa;Orange Juice,2025-03-27,12:41,Home Cook,new,Store A,Credit Card
TXN_000038,CUST_0004,USB-C Cable;iPad Mini;Sony WH-1000XM5;PlayStation 5;RAM 16GB,2025-03-30,11:39,Tech Enthusiast,new,Online,Debit Card
TXN_000039,CUST_0101,Supplement Pills;Protein Powder;Yoga Mat;Hair Dryer;H&M T-Shirt;Perfume,2025-04-08,15:47,Fashion Conscious,new,Store A,Credit Card
TXN_000040,CUST_0234,"Webcam;Sony WH-1000XM5;Smart TV 55""",2025-04-14,09:13,Tech Enthusiast,regular,Store A,Credit Card
TXN_000041,CUST_0049,Makeup Kit;Hair Dryer;Yoga Mat;Shampoo,2025-02-20,17:36,Fashion Conscious,new,Online,Credit Card
TXN_000042,CUST_0061,Garden Tools Set;Lawn Mower;Orange Juice;Eggs;Outdoor Furniture;Rice;Dark Chocolate;Solar Lights;Garden Hose;Stand Mixer;Instant Pot;Microwave;Vacuum Cleaner;Organic Coffee;Cereal;Peanut Butter,2025-03-17,13:53,Home Cook,regular,Store C,Cash
TXN_000043,CUST_0051,Perfume;Makeup Kit;Zara Dress,2025-02-13,16:13,Fashion Conscious,new,Online,Credit Card
TXN_000044,CUST_0076,Supplement Pills;Protein Powder;Bike Helmet;Water Bottle;Mountain Bike,2025-04-22,20:17,Fitness Enthusiast,regular,Online,Credit Card
TXN_000045,CUST_0238,BBQ Grill;Microwave;Garden Hose;Blender;Green Tea;Vacuum Cleaner,2025-03-12,20:30,Home Cook,regular,Store B,Credit Card
TXN_000046,CUST_0108,Cheese;Fruits;The Da Vinci Code,2025-07-02,13:27,Book Lover,new,Online,Debit Card
TXN_000047,CUST_0173,Electric Kettle;Protein Bars;Butter;Pasta;Food Processor;BBQ Grill;Outdoor Furniture;Dark Chocolate;Nuts Mix;Peanut Butter;Vacuum Cleaner,2025-05-01,17:22,Home Cook,regular,Online,Credit Card
TXN_000048,CUST_0135,Shampoo,2025-06-01,15:09,Fashion Conscious,regular,Store C,Debit Card
TXN_000049,CUST_0154,Nike Socks;Vans Old Skool;Ray-Ban Sunglasses;Magazine;Garden Tools Set;H&M T-Shirt;Coffee Maker,2025-02-13,16:49,General Shopper,vip,Store A,Debit Card
TXN_000050,CUST_0075,Garden Tools Set;Honey;Cheese;Air Fryer,2025-04-08,09:32,Home Cook,vip,Store A,Debit Card
TXN_000051,CUST_0031,Camping Tent;Sunscreen;Tennis Racket,2025-04-02,20:22,Fitness Enthusiast,regular,Store B,Credit Card
TXN_000052,CUST_0219,Solar Lights;Orange Juice;Blender;Instant Pot;Toaster;BBQ Grill;Stand Mixer;Olive Oil;Protein Bars;Salmon,2025-04-23,02:37,Home Cook,new,Online,Credit Card
TXN_000053,CUST_0020,Kindle;Samsung Galaxy S24;Webcam,2025-04-23,18:29,Tech Enthusiast,vip,Store A,Mobile Payment
TXN_000054,CUST_0041,Protein Bars;Microwave;Food Processor;Organic Coffee;Toaster;Electric Kettle;Flower Pots;Cheese;Face Cream,2025-04-18,16:56,Home Cook,new,Online,Credit Card
TXN_000055,CUST_0095,Bluetooth Speaker,2025-06-08,06:43,Tech Enthusiast,regular,Online,Credit Card
TXN_000056,CUST_0010,Golf Balls,2025-01-29,11:37,Fitness Enthusiast,regular,Online,Mobile Payment
TXN_000057,CUST_0095,Dell XPS 13;Sony WH-1000XM5;iPad Mini,2025-02-25,11:13,Tech Enthusiast,regular,Store C,Credit Card
TXN_000058,CUST_0002,The Great Gatsby;Vegetables;The Da Vinci Code;Quinoa,2025-02-24,22:00,Book Lover,new,Store A,Debit Card
TXN_000059,CUST_0090,Snowboard;Conditioner;Tennis Balls;Golf Balls;Vitamins,2025-02-25,16:52,Fitness Enthusiast,regular,Online,Mobile Payment
TXN_000060,CUST_0114,Protein Bars,2025-06-12,12:48,Home Cook,new,Store B,Mobile Payment
TXN_000061,CUST_0213,Electric Toothbrush;Champion Hoodie,2025-05-17,17:01,Fashion Conscious,regular,Store A,Debit Card
TXN_000062,CUST_0016,Bike Helmet;Yoga Mat;Makeup Kit;Dark Chocolate,2025-02-08,12:12,Fitness Enthusiast,new,Online,Mobile Payment
TXN_000063,CUST_0006,Zara Dress;Nike Hoodie;Levi's Jeans;Converse All Stars,2025-02-05,10:02,Fashion Conscious,regular,Online,Credit Card
TXN_000064,CUST_0037,Orange Juice;Vegetables;Fruits,2025-06-25,08:07,Book Lover,new,Store B,Credit Card
TXN_000065,CUST_0232,Nike Hoodie;Tommy Hilfiger Jacket;Supplement Pills,2025-05-04,12:28,Fashion Conscious,vip,Store C,Debit Card
TXN_000066,CUST_0048,Fruits;Stand Mixer;Microwave;Eggs;Rice;Garden Tools Set;BBQ Grill,2025-05-01,12:55,Home Cook,vip,Online,Debit Card
TXN_000067,CUST_0120,Blender;Honey;Tomato Sauce;Eggs;Olive Oil;Microwave;Yogurt;Dark Chocolate,2025-03-27,03:05,Home Cook,regular,Online,Debit Card
TXN_000068,CUST_0183,Butter;To Kill a Mockingbird;1984;Dark Chocolate,2025-02-06,08:35,Book Lover,vip,Online,Credit Card
TXN_000069,CUST_0198,Butter;Stand Mixer;Green Tea;Eggs;Flower Pots;Cereal;Milk;Orange Juice;Chicken Breast,2025-07-10,16:28,Home Cook,regular,Store A,Credit Card
TXN_000070,CUST_0058,Microsoft Surface;Gaming Keyboard,2025-07-16,12:58,Tech Enthusiast,regular,Store B,Cash
TXN_000071,CUST_0099,Sunscreen;Gap Jeans,2025-02-08,15:41,Fashion Conscious,new,Store A,Credit Card
TXN_000072,CUST_0099,Ray-Ban Sunglasses;Tommy Hilfiger Jacket;Polo Ralph Lauren Shirt;Supplement Pills,2025-02-19,04:37,Fashion Conscious,new,Store C,Cash
TXN_000073,CUST_0171,Green Tea;Plant Fertilizer;Patio Umbrella;Olive Oil;Air Fryer,2025-03-13,14:26,Home Cook,regular,Store A,Mobile Payment
TXN_000074,CUST_0014,Patio Umbrella;Microwave;Tomato Sauce;Instant Pot;Cereal;Peanut Butter;Milk;Toaster;Garden Tools Set,2025-07-02,22:56,Home Cook,vip,Store B,Cash
TXN_000075,CUST_0029,AirPods Pro,2025-04-02,16:12,Tech Enthusiast,vip,Store C,Credit Card
TXN_000076,CUST_0192,PlayStation 5,2025-07-16,14:52,Tech Enthusiast,regular,Store A,Credit Card
TXN_000077,CUST_0123,Bluetooth Speaker;USB-C Cable;iPhone 15;AirPods Pro;Sony WH-1000XM5,2025-02-23,08:44,Tech Enthusiast,vip,Store B,Debit Card
TXN_000078,CUST_0064,Resistance Bands;Polo Ralph Lauren Shirt;Protein Powder,2025-03-13,05:47,Fashion Conscious,regular,Store B,Mobile Payment
TXN_000079,CUST_0096,Nike Socks,2025-07-09,18:14,Fashion Conscious,regular,Store C,Cash
TXN_000080,CUST_0059,Romance Novel;Game of Thrones;Olive Oil,2025-05-31,19:20,Book Lover,new,Store A,Mobile Payment
